//Arena Opponents
ArenaRank0A 6
ArenaRank0B 6
ArenaRank0C 7

ArenaRank1A 8
ArenaRank1B 6
ArenaRank1C 6
ArenaRank1D 9

ArenaRank2A 10
ArenaRank2B 11
ArenaRank2C 12

ArenaRank3A 12
ArenaRank3B 13
ArenaRank3C 14

ArenaRank4A 15
ArenaRank4B 15
ArenaRank4C 18

ArenaRank5A 11
ArenaRank5B 11
ArenaRank5C 11
ArenaRank5D 18
ArenaRank5E 20

ArenaRank6A 25
ArenaRank6B 30
ArenaRank6C 12
ArenaRank6D 32
ArenaRank6E 7

//High Level NPCs
SESheogorath 100
ND04SleepingTitan 50
Mannimarco 48
SEHaskill 45
MankarCamoran 45
AgronakGroMalog 41
Umbra 40
NightChild 40
GrayFox 40
GrayFoxCorvus 40
GrayFoxStranger 40
AlixLencolia 39
AzaniBlackheart 38
ModrynOreyn 34
Alawen 33
Borissean 33
HannibalTraven 32
BralsaAndaren 32
Ungolim 31
LucienLachance 31
LucienLachanceHunted 31
Dagail 31
MelusPetilius 31
GasparStegine 30
OlynSeran 30
ToothintheSea 30
JGhasta 29
HavilsteinHoarBlood 29
AlvalUvani 29
GogrongroBolmog 29
VilenaDonton 29
BanusAlor 28
SERelmynaVerenim 28
Renote 27
MathieuBellamont 27
Shaleez 27
Falcar 26
Celedaen 26
HidesHisHeart 26
DL9MoragTongAssassin 25
BelisariusArius 25
Baurus 25
HelviusCecia 25
Oleta 25
SENelrene 25
Glenroy 24
OleedEi 24
Arquen 23
Pranal 22
RaminusPolus 21
Torbern 21
Fafnir 20
MartinaFloria 20
GinWulm 20
Sinderion 20
Caranya 20
IrlavJarolDead 20
IrlavJarol 20
GruiandGarrana 20
Jbaana 20
Tandilwe 20
FathisUles 20
Carahil 19
BurzGroKhash 19
NDIniusColus 19
TarMeena 19
RenaldViernis 19
DLCBattlehornTrainer 19
BittneldtheCurseBringer 18
Rizakar 18
Azzan 18
Bothiel 18
Teekeeus 17
SEJayredIceVeins 17
JulienneFanis 16
Delmar 16
Ocato 16
Orintur 16
Maiqtheliar 16
UlrichLeland 15
Deetsan 15
BoderiFarano 15
Ancotar 15
Baeralorn 15
Arkved 15
AlbericLitte 14
Abhuki 14
PinarusInventius 14
WormAnchorite 14
AhMalz 13
Varnado 13
JaFazir 12
Eilonwy 12
KurzgroBaroth 12
ForlornWatchmanPre 12
AmminusGregori 11
SE01GaiusPrentus 11
Dark09CeremonyGuard2 11
Dark09CeremonyGuard 11
FGGuardPorterSkingrad 10
FGGuardPorterLeyawiin 10
FGGuardPorterCheydinhal 10
FGGuardPorterBruma 10
FGGuardPorterBravil 10
FGGuardPorterAnvil 10
FGGuardPorterChorrol 10
JeanneFrasoricDead 10
JeanneFrasoric 10
SEYngvar 9
OrmelliusGoldwine 8
SEUnaArmina 7
CastaFlavus 7
WeedumJa 4
